departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,02,07,00,2017,07,02,07,06,2017,07,02,08,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,02,08,00,2017,07,02,08,02,2017,07,02,09,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,02,09,00,2017,07,02,09,00,2017,07,02,10,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,02,10,00,2017,07,02,10,07,2017,07,02,11,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,02,11,00,2017,07,02,11,03,2017,07,02,12,25
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,02,12,00,2017,07,02,12,08,2017,07,02,13,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,02,13,00,2017,07,02,13,01,2017,07,02,14,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,02,14,00,2017,07,02,14,07,2017,07,02,15,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,02,15,00,2017,07,02,15,02,2017,07,02,16,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,02,16,00,2017,07,02,16,05,2017,07,02,17,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,02,17,00,2017,07,02,17,06,2017,07,02,18,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,02,18,00,2017,07,02,18,02,2017,07,02,19,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,02,19,00,2017,07,02,19,05,2017,07,02,20,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,02,21,00,2017,07,02,21,00,2017,07,02,22,26
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,03,07,00,2017,07,03,07,00,2017,07,03,08,34
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,03,08,00,2017,07,03,08,00,2017,07,03,09,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,03,09,00,2017,07,03,09,00,2017,07,03,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,03,10,00,2017,07,03,10,06,2017,07,03,11,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,03,11,00,2017,07,03,11,01,2017,07,03,12,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,03,12,00,2017,07,03,12,05,2017,07,03,13,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,03,13,00,2017,07,03,13,04,2017,07,03,14,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,03,14,00,2017,07,03,14,08,2017,07,03,15,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,03,15,00,2017,07,03,15,02,2017,07,03,16,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,03,16,00,2017,07,03,16,04,2017,07,03,17,26
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,03,17,00,2017,07,03,17,03,2017,07,03,18,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,03,18,00,2017,07,03,18,12,2017,07,03,19,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,03,19,00,2017,07,03,19,03,2017,07,03,20,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,03,21,00,2017,07,03,21,02,2017,07,03,22,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,03,22,00,2017,07,03,22,00,2017,07,03,23,35
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,03,07,00,2017,07,03,07,01,2017,07,03,08,26
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,03,08,00,2017,07,03,08,07,2017,07,03,09,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,03,09,00,2017,07,03,09,03,2017,07,03,10,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,03,10,00,2017,07,03,10,09,2017,07,03,11,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,03,11,00,2017,07,03,11,05,2017,07,03,12,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,03,12,00,2017,07,03,12,12,2017,07,03,13,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,03,13,00,2017,07,03,13,06,2017,07,03,14,30
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,03,14,00,2017,07,03,14,08,2017,07,03,15,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,03,15,00,2017,07,03,15,07,2017,07,03,16,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,03,16,00,2017,07,03,16,09,2017,07,03,17,40
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,03,17,00,2017,07,03,17,09,2017,07,03,18,36
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,03,18,00,2017,07,03,18,01,2017,07,03,19,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,03,19,00,2017,07,03,19,10,2017,07,03,20,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,03,20,00,2017,07,03,20,02,2017,07,03,21,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,03,21,00,2017,07,03,20,59,2017,07,03,22,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,03,22,00,2017,07,03,21,59,2017,07,03,23,24
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,04,06,00,2017,07,04,06,03,2017,07,04,07,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,04,07,00,2017,07,04,06,59,2017,07,04,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,04,08,00,2017,07,04,08,02,2017,07,04,09,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,04,09,00,2017,07,04,09,05,2017,07,04,10,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,04,10,00,2017,07,04,10,01,2017,07,04,11,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,04,11,00,2017,07,04,11,02,2017,07,04,12,40
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,04,12,00,2017,07,04,12,03,2017,07,04,13,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,04,13,00,2017,07,04,13,07,2017,07,04,14,34
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,04,14,00,2017,07,04,14,04,2017,07,04,15,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,04,15,00,2017,07,04,15,01,2017,07,04,16,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,04,16,00,2017,07,04,16,22,2017,07,04,17,46
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,04,17,00,2017,07,04,17,00,2017,07,04,18,34
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,04,18,00,2017,07,04,18,00,2017,07,04,19,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,04,19,00,2017,07,04,19,01,2017,07,04,20,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,04,20,00,2017,07,04,20,10,2017,07,04,21,36
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,04,21,00,2017,07,04,21,02,2017,07,04,22,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,04,06,00,2017,07,04,06,01,2017,07,04,07,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,04,07,00,2017,07,04,07,00,2017,07,04,08,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,04,08,00,2017,07,04,08,00,2017,07,04,09,26
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,04,09,00,2017,07,04,09,00,2017,07,04,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,04,10,00,2017,07,04,10,02,2017,07,04,11,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,04,11,00,2017,07,04,11,03,2017,07,04,12,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,04,12,00,2017,07,04,12,03,2017,07,04,13,26
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,04,13,00,2017,07,04,13,09,2017,07,04,14,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,04,14,00,2017,07,04,14,00,2017,07,04,15,48
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,04,15,00,2017,07,04,15,05,2017,07,04,16,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,04,16,00,2017,07,04,16,08,2017,07,04,17,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,04,17,00,2017,07,04,17,00,2017,07,04,18,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,04,18,00,2017,07,04,18,12,2017,07,04,19,46
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,04,19,00,2017,07,04,19,00,2017,07,04,20,36
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,04,20,00,2017,07,04,20,01,2017,07,04,21,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,04,21,00,2017,07,04,21,01,2017,07,04,22,28
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,05,06,00,2017,07,05,06,02,2017,07,05,07,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,05,07,00,2017,07,05,06,59,2017,07,05,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,05,08,00,2017,07,05,08,06,2017,07,05,09,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,05,09,00,2017,07,05,09,00,2017,07,05,10,28
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,05,10,00,2017,07,05,10,02,2017,07,05,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,05,11,00,2017,07,05,11,01,2017,07,05,12,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,05,12,00,2017,07,05,12,08,2017,07,05,13,40
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,05,13,00,2017,07,05,13,01,2017,07,05,14,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,05,14,00,2017,07,05,14,00,2017,07,05,15,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,05,15,00,2017,07,05,15,00,2017,07,05,16,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,05,16,00,2017,07,05,16,08,2017,07,05,17,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,05,17,00,2017,07,05,17,02,2017,07,05,18,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,05,18,00,2017,07,05,18,00,2017,07,05,19,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,05,19,00,2017,07,05,19,04,2017,07,05,20,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,05,20,00,2017,07,05,20,08,2017,07,05,21,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,05,21,00,2017,07,05,20,58,2017,07,05,22,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,05,06,00,2017,07,05,06,03,2017,07,05,07,36
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,05,07,00,2017,07,05,07,00,2017,07,05,08,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,05,08,00,2017,07,05,08,01,2017,07,05,09,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,05,09,00,2017,07,05,09,00,2017,07,05,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,05,10,00,2017,07,05,10,01,2017,07,05,11,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,05,11,00,2017,07,05,11,00,2017,07,05,12,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,05,12,00,2017,07,05,12,09,2017,07,05,13,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,05,13,00,2017,07,05,13,03,2017,07,05,14,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,05,14,00,2017,07,05,14,09,2017,07,05,15,40
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,05,15,00,2017,07,05,15,02,2017,07,05,16,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,05,16,00,2017,07,05,16,01,2017,07,05,17,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,05,17,00,2017,07,05,16,59,2017,07,05,18,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,05,18,00,2017,07,05,18,01,2017,07,05,19,38
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,05,19,00,2017,07,05,18,59,2017,07,05,20,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,05,20,00,2017,07,05,20,00,2017,07,05,21,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,05,21,00,2017,07,05,20,58,2017,07,05,22,26
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,06,06,00,2017,07,06,06,04,2017,07,06,07,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,06,07,00,2017,07,06,07,00,2017,07,06,08,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,06,08,00,2017,07,06,08,02,2017,07,06,09,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,06,09,00,2017,07,06,09,02,2017,07,06,10,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,06,10,00,2017,07,06,10,02,2017,07,06,11,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,06,11,00,2017,07,06,11,11,2017,07,06,12,42
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,06,12,00,2017,07,06,12,08,2017,07,06,13,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,06,13,00,2017,07,06,13,05,2017,07,06,14,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,06,14,00,2017,07,06,14,01,2017,07,06,15,33
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,06,15,00,2017,07,06,15,11,2017,07,06,16,42
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,06,16,00,2017,07,06,16,09,2017,07,06,17,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,06,17,00,2017,07,06,16,59,2017,07,06,18,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,06,19,00,2017,07,06,19,05,2017,07,06,20,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,06,20,00,2017,07,06,20,03,2017,07,06,21,26
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,06,21,00,2017,07,06,21,01,2017,07,06,22,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,06,06,00,2017,07,06,06,04,2017,07,06,07,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,06,07,00,2017,07,06,07,03,2017,07,06,08,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,06,08,00,2017,07,06,08,05,2017,07,06,09,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,06,09,00,2017,07,06,09,11,2017,07,06,10,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,06,10,00,2017,07,06,10,00,2017,07,06,11,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,06,11,00,2017,07,06,11,01,2017,07,06,12,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,06,12,00,2017,07,06,12,01,2017,07,06,13,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,06,13,00,2017,07,06,13,12,2017,07,06,14,40
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,06,14,00,2017,07,06,14,05,2017,07,06,15,42
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,06,15,00,2017,07,06,15,05,2017,07,06,16,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,06,16,00,2017,07,06,16,02,2017,07,06,17,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,06,17,00,2017,07,06,17,11,2017,07,06,18,38
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,06,18,00,2017,07,06,18,06,2017,07,06,19,36
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,06,19,00,2017,07,06,19,03,2017,07,06,20,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,06,20,00,2017,07,06,20,02,2017,07,06,21,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,06,21,00,2017,07,06,20,59,2017,07,06,22,27
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,07,07,00,2017,07,07,07,01,2017,07,07,08,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,07,08,00,2017,07,07,08,03,2017,07,07,09,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,07,09,00,2017,07,07,09,01,2017,07,07,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,07,10,00,2017,07,07,10,09,2017,07,07,11,40
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,07,11,00,2017,07,07,11,04,2017,07,07,12,38
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,07,12,00,2017,07,07,12,04,2017,07,07,13,38
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,07,13,00,2017,07,07,13,09,2017,07,07,14,48
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,07,14,00,2017,07,07,14,10,2017,07,07,15,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,07,15,00,2017,07,07,15,13,2017,07,07,16,42
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,07,16,00,2017,07,07,16,05,2017,07,07,17,38
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,07,17,00,2017,07,07,17,27,2017,07,07,18,54
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,07,18,00,2017,07,07,18,16,2017,07,07,19,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,07,07,19,00,2017,07,07,19,11,2017,07,07,20,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,07,07,20,00,2017,07,07,20,17,2017,07,07,21,42
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,07,07,21,00,2017,07,07,21,27,2017,07,07,22,50
Tsawwassen,Swartz Bay,Coastal Celebration,2017,07,07,22,00,2017,07,07,22,03,2017,07,07,23,38
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,07,07,00,2017,07,07,07,03,2017,07,07,08,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,07,08,00,2017,07,07,08,04,2017,07,07,09,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,07,09,00,2017,07,07,09,02,2017,07,07,10,30
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,07,10,00,2017,07,07,10,08,2017,07,07,11,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,07,11,00,2017,07,07,11,06,2017,07,07,12,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,07,12,00,2017,07,07,12,12,2017,07,07,13,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,07,13,00,2017,07,07,13,12,2017,07,07,14,40
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,07,14,00,2017,07,07,14,11,2017,07,07,15,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,07,15,00,2017,07,07,15,21,2017,07,07,16,48
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,07,16,00,2017,07,07,16,13,2017,07,07,17,42
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,07,17,00,2017,07,07,17,14,2017,07,07,18,40
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,07,18,00,2017,07,07,18,11,2017,07,07,19,42
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,07,07,19,00,2017,07,07,19,27,2017,07,07,20,56
Swartz Bay,Tsawwassen,Coastal Celebration,2017,07,07,20,00,2017,07,07,20,05,2017,07,07,21,40
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,07,07,21,00,2017,07,07,21,01,2017,07,07,22,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,07,07,22,00,2017,07,07,22,04,2017,07,07,23,39
